Species	Castes	TotalMites	Acarinarium
B_atratus	worker	5	1
B_atratus	worker	3	1
B_atratus	worker	1	1
B_atratus	worker	2	0
B_atratus	worker	1	0
B_atratus	worker	1	0
B_atratus	worker	2	1
B_atratus	worker	1	0
B_atratus	worker	7	0
B_atratus	worker	1	0
B_atratus	worker	5	1
B_atratus	worker	1	0
B_atratus	worker	1	1
B_atratus	worker	7	0
B_atratus	worker	14	0
B_atratus	worker	2	0
B_atratus	worker	2	0
B_atratus	worker	1	0
B_atratus	worker	2	0
B_atratus	worker	1	0
B_atratus	worker	1	0
B_atratus	worker	2	0
B_atratus	worker	1	1
B_atratus	worker	1	0
B_atratus	worker	1	0
B_atratus	worker	4	0
B_atratus	worker	2	0
B_atratus	worker	1	1
B_atratus	worker	1	0
B_atratus	worker	1	0
B_atratus	worker	0	1
B_atratus	worker	2	0
B_atratus	queen	1	1
B_atratus	queen	1	1
B_atratus	queen	5	1
B_atratus	queen	70	1
B_atratus	drone	5	1
B_atratus	drone	8	1
B_atratus	drone	2	1
B_atratus	drone	15	1
B_atratus	drone	4	1
B_atratus	drone	37	1
B_atratus	drone	15	1
B_atratus	drone	89	1
B_atratus	drone	1	0
B_atratus	drone	59	1
B_atratus	drone	9	1
B_atratus	drone	16	1
B_atratus	drone	19	1
B_atratus	queen	2	1
B_atratus	queen	1	1
B_atratus	queen	27	1
B_atratus	queen	9	1
B_opifex	worker	1	0
B_opifex	drone	73	0
B_opifex	drone	74	0
B_opifex	worker	4	1
B_opifex	drone	7	1
B_opifex	drone	1	1
B_opifex	drone	9	1
B_opifex	worker	1	0
B_opifex	worker	2	1
B_opifex	worker	24	1
B_opifex	worker	1	1
B_opifex	worker	2	1
B_opifex	worker	1	1
B_opifex	worker	1	1
B_opifex	worker	1	1
B_opifex	worker	11	1
B_opifex	queen	5	1
B_opifex	drone	5	1
B_opifex	queen	17	1
B_opifex	queen	21	1
B_opifex	queen	8	1
B_opifex	queen	1	1
B_opifex	queen	11	1
B_opifex	queen	1	1
B_opifex	queen	6	1
B_opifex	queen	12	1
B_opifex	drone	46	1
B_opifex	drone	9	1
B_opifex	worker	3	1
B_opifex	worker	0	1
B_opifex	worker	5	1
B_opifex	worker	9	1
B_opifex	drone	4	1
B_opifex	worker	9	1
B_opifex	worker	5	1
B_opifex	worker	1	1
B_opifex	worker	2	1
B_opifex	worker	1	1
B_opifex	worker	3	1
B_opifex	drone	1	1
B_opifex	worker	1	0
B_opifex	worker	8	0
B_opifex	drone	1	1
B_opifex	drone	37	1
