Area	Length	Sex	Number
A	88	Female	3
A	93	Male	2
A	94	Female	8
A	94	Female	14
A	94	Female	12
A	94	Male	4
A	94	Male	10
A	94	Male	0
A	94	Male	2
A	96	Female	17
A	96	Female	32
A	96	Female	21
A	96	Male	3
A	97	Female	22
A	97	Male	2
A	97	Female	23
A	97	Female	2
A	97	Female	4
A	97	Male	1
A	97	Male	4
A	97	Male	0
A	98	Female	22
A	98	Female	6
A	98	Female	14
A	98	Male	3
A	98	Female	46
A	98	Male	4
A	99	Female	7
A	99	Female	4
A	99	Female	1
A	99	Female	1
A	99	Female	4
A	99	Female	0
A	100	Female	4
A	100	Female	9
A	100	Female	11
A	100	Male	4
A	100	Female	10
A	100	Male	0
A	100	Female	26
A	100	Female	7
A	100	Female	27
A	100	Male	3
A	100	Female	21
A	100	Male	0
A	101	Female	9
A	101	Male	6
A	101	Female	32
A	101	Male	3
A	101	Female	2
A	101	Female	3
A	101	Female	2
A	101	Male	3
A	102	Female	13
A	102	Male	9
A	102	Female	2
A	102	Male	24
A	102	Male	10
A	102	Male	11
A	102	Female	1
A	103	Male	42
A	103	Female	4
A	103	Female	8
A	103	Female	10
A	103	Male	4
A	103	Female	1
A	104	Female	24
A	104	Female	18
A	104	Male	12
A	104	Male	4
A	104	Female	8
A	104	Female	18
A	104	Female	8
A	104	Female	1
A	104	Female	7
A	104	Male	2
A	104	Male	4
A	104	Male	3
A	104	Male	18
A	104	Female	26
A	104	Female	13
A	104	Female	28
A	104	Female	3
A	104	Female	11
A	104	Female	3
A	106	Female	2
A	106	Male	4
A	106	Female	9
A	106	Female	30
A	106	Female	1
A	106	Male	20
A	107	Female	6
A	107	Male	13
A	107	Female	16
A	107	Male	3
A	107	Female	6
A	107	Male	16
A	107	Male	4
A	107	Male	8
A	109	Male	14
A	109	Female	19
A	109	Female	1
A	110	Female	11
A	110	Female	13
A	110	Female	17
A	111	Female	31
A	112	Male	7
A	114	Female	18
A	114	Female	48
A	117	Male	7
A	117	Female	20
A	117	Female	6
A	119	Male	19
A	120	Male	93
A	121	Female	74
A	121	Female	74
A	123	Female	28
A	123	Male	12
A	124	Male	144
A	124	Female	31
A	126	Female	3
A	126	Male	14
A	126	Female	101
A	127	Female	19
A	131	Female	13
A	133	Female	66
A	136	Female	14
A	137	Male	18
A	139	Female	30
A	139	Male	31
A	140	Female	6
A	140	Male	40
A	140	Female	7
A	142	Female	10
A	144	Female	40
A	144	Female	13
A	144	Male	48
A	146	Female	11
A	147	Female	14
A	148	Female	12
A	162	Male	30
A	163	Female	34
A	163	Male	42
A	164	Male	38
A	164	Male	46
A	167	Male	44
A	169	Male	60
B	89	Male	0
B	94	Female	11
B	94	Male	4
B	94	Female	42
B	94	Male	14
B	94	Male	16
B	96	Female	64
B	96	Male	14
B	96	Male	6
B	96	Male	7
B	97	Male	20
B	97	Male	21
B	97	Female	10
B	98	Male	10
B	98	Male	14
B	98	Male	23
B	98	Male	21
B	98	Male	19
B	98	Female	3
B	98	Female	12
B	98	Female	46
B	98	Male	13
B	99	Male	20
B	99	Female	32
B	99	Male	8
B	99	Male	10
B	99	Male	4
B	99	Female	7
B	99	Female	16
B	99	Female	4
B	99	Male	39
B	100	Female	16
B	100	Male	6
B	100	Male	29
B	100	Female	11
B	100	Female	18
B	101	Male	10
B	101	Female	4
B	101	Female	30
B	101	Female	10
B	102	Male	34
B	102	Female	12
B	102	Female	9
B	102	Male	14
B	103	Male	46
B	103	Male	9
B	103	Female	4
B	103	Male	3
B	103	Male	14
B	103	Female	81
B	104	Male	18
