Population	AbsoluteLatitude	CranialCapacity	Minimum_Illuminance	Minimum_Temperature	MeanOrbitalVolume
Micronesia	1.33	1200	109647.82	26.67	22.5
Micronesia	5.42	1300	104712.85	24.44	21
Micronesia	5.42	1100	104712.85	24.44	22
CanaryIslands	28.51	1300	64565.42	14.44	20.5
CanaryIslands	28.51	1420	64565.42	14.44	25
CanaryIslands	28.51	1400	64565.42	14.44	25.5
CanaryIslands	28.51	1620	64565.42	14.44	27.6
Uganda	1.36	1340	109647.82	16.67	24.5
Uganda	1.36	1480	109647.82	16.67	24
Uganda	1.36	1280	109647.82	16.67	25.3
Uganda	1.36	1360	109647.82	16.67	21.6
Uganda	1.36	1240	109647.82	16.67	24.5
Somalia	10.62	1430	97723.72	26.67	21.3
Somalia	10.62	1300	97723.72	26.67	27.5
Somalia	9.32	1640	100000	26.67	22
Somalia	10.62	1240	97723.72	26.67	23.3
Somalia	9.32	1280	100000	26.67	22.6
Kenya	0.02	1380	112201.85	7.78	25.5
Kenya	0.02	1300	112201.85	7.78	22.5
Kenya	0.02	1340	112201.85	7.78	22.5
Kenya	0.02	1280	112201.85	7.78	19.5
Kenya	0.02	1100	112201.85	7.78	22.9
China	37.37	1435	45708.82	-12.78	22
China	37.37	1340	45708.82	-12.78	23.4
China	37.37	1700	45708.82	-12.78	28
India	22.57	1210	77624.71	13.89	28
India	7.75	1420	102329.3	22.78	22
India	22.57	1180	77624.71	13.89	22.8
USA	40	1380	39810.72	-10	27.4
USA	40	1310	39810.72	-10	26.8
USA	42.97	1480	35481.34	-14.39	28.5
USA	40	1200	39810.72	-10	23.9
Scandinavia	65	1410	1862.09	-13.89	28.3
Scandinavia	62.54	1500	4168.69	-10.56	27.5
Scandinavia	65	1540	1862.09	-13.89	26
Scandinavia	63.54	1610	3235.94	-10.56	26.4
Scandinavia	64.96	1360	2187.76	-13.89	26
France	46.75	1500	28183.83	0	26.5
France	46.75	1450	28183.83	0	27.5
France	46.75	1600	28183.83	0	29.4
France	48.66	1620	25118.86	1.67	27.5
France	48.82	1280	24547.09	1.11	25.6
France	48.18	1320	25703.96	1.67	21.1
England	51.74	1300	20417.38	1.11	23.1
England	51.74	1390	20417.38	1.11	27.4
England	52.86	1500	18197.01	1.11	29
England	51.74	1310	20417.38	1.11	23.1
England	51.74	1480	20417.38	1.11	29.8
England	51.74	1580	20417.38	1.11	28.9
England	51.74	1350	20417.38	1.11	22.3
Australia	16.53	1140	89125.09	13.33	24.6
Australia	34.94	1370	51286.14	6.67	26.1
Australia	13.68	1290	95499.26	18.89	26.5
Australia	35.63	1290	50118.72	5	24
Australia	13.68	1320	95499.26	18.89	23
