rich_pp	rich_ois	x	y
28	39	564999,996757	5284999,990830
27	33	564999,988821	5294999,996550
27	30	574999,988941	5294999,999670
26	37	585000,005554	5294999,991050
23	40	594999,994844	5294999,989050
26	37	554999,987162	5314999,997230
28	33	555000,006634	5324999,969830
23	34	555000,012819	5334999,985540
14	32	555000,000759	5345000,014380
27	30	565000,007983	5305000,017200
28	38	564999,992634	5314999,996670
26	35	564999,984303	5324999,988070
23	33	564999,985531	5334999,998540
25	32	564999,997590	5345000,016880
15	34	565000,014915	5374999,985720
27	34	575000,004205	5305000,017890
25	38	574999,999249	5315000,023540
26	35	575000,000168	5324999,999200
22	31	574999,995959	5334999,968240
26	38	575000,006266	5344999,973070
23	24	575000,013370	5354999,977040
24	33	575000,002143	5365000,006250
27	31	574999,993898	5374999,977040
26	29	574999,985342	5384999,992750
25	36	584999,998536	5304999,991020
25	38	585000,001431	5314999,994230
25	36	585000,007615	5324999,988070
26	34	584999,999370	5334999,981230
24	38	585000,005554	5344999,970070
25	33	584999,995161	5354999,989410
24	28	585000,008449	5364999,994570
25	37	585000,010510	5374999,983910
23	35	584999,981959	5384999,992750
27	26	594999,991554	5304999,976080
28	41	594999,997429	5314999,983740
29	39	594999,997738	5325000,003070
27	37	594999,998571	5334999,988730
23	34	595000,002694	5344999,973260
25	32	595000,015149	5354999,981410
23	33	595000,003527	5364999,992070
24	27	595000,011026	5375000,009590
24	37	605000,009395	5305000,002390
24	40	604999,996940	5315000,012420
26	38	605000,005272	5325000,010070
27	38	605000,001982	5334999,992600
28	36	605000,008166	5344999,970070
24	34	604999,995712	5354999,974600
23	31	604999,997859	5364999,988940
26	39	604999,996545	5374999,994780
26	35	615000,013553	5305000,039260
24	38	615000,018990	5315000,023730
24	34	615000,005307	5325000,021940
25	35	615000,013638	5335000,015100
28	37	615000,001184	5345000,007760
26	33	614999,992938	5354999,993280
24	37	614999,990876	5364999,959760
24	35	625000,024376	5304999,998770
20	34	625000,014068	5315000,002610
24	33	625000,006656	5325000,013760
23	29	625000,012840	5335000,022100
28	33	625000,006656	5345000,053310
19	29	625000,002533	5355000,009100
18	13	624999,993059	5364999,997810
21	32	635000,005024	5324999,984640
25	37	635000,007086	5334999,993980
24	27	635000,015022	5345000,025940
20	27	634999,993489	5355000,023470
22	29	634999,980287	5364999,994130
