col	year	success	growth	denstot	ratio
C	1985	0,5	1,25	9	0,143258013
C	1986	0,5	0,666666667	4	0,460414427
C	1987	0,833333333	1,375	17	0,787657625
C	1988	0,523809524	1,2	29	0,626138028
C	1989	0,5	1,142857143	45	0,320971877
C	1990	0,569444444	1,12962963	27,33333333	0,276832702
C	1991	0,592857143	0,975	15,4	0,485000304
C	1992	0,472222222	1,313492063	15,83333333	0,474036012
C	1993	0,527777778	1,086111111	26,33333333	0,007995942
C	1994	0,677777778	1,136111111	25,5	0,175731391
C	1995	0,744444444	1,240740741	30,55555556	0,637017717
C	1996	0,450324675	1,333333333	37,55555556	0,649307598
C	1997	0,763945578	0,936781076	39,85714286	0,054987078
C	1998	0,482142857	1,299773243	56,28571429	0,281679655
C	1999	0,615025253	1,09375	42,16666667	0,820351493
C	2000	0,647785548	1,044988345	38,30769231	0,623395089
C	2001	0,630122655	1,227886003	40,07142857	0,277662829
C	2002	0,671130952	1,151609848	36,125	0,809261641
C	2003	0,74491342	1,173762838	48,17647059	0,813283262
O	1972	1	1	4	0,354775849
O	1973	1	1	4	0,756080994
O	1974	1	1	4	0,208686639
O	1975	0,75	1	4	0,324280078
O	1976	0,333333333	1,222222222	7,333333333	0,089382683
O	1977	0,666666667	1	9	0,027333573
O	1978	0,583333333	1	6,5	0,787843152
O	1979	1	0,833333333	4	0,082485034
O	1980	1	1,166666667	5,666666667	0,128531892
O	1981	1	1	5,666666667	0,351407539
O	1982	0,888888889	1,388888889	9,666666667	0,276271055
O	1983	0,944444444	1,180555556	11,16666667	0,331242257
O	1984	1	1,192857143	18,42857143	0,03971168
O	1985	0,84375	1,082291667	21,25	0,380682361
O	1986	0,93452381	1,162698413	19,42857143	0,587211282
O	1987	0,880952381	0,982142857	21,85714286	0,58029817
O	1988	0,753571429	1,192857143	29,71428571	0,992639661
O	1989	0,711111111	1,230864198	34,33333333	0,589775874
O	1990	0,889145299	1,073333333	38,8	0,9570888
O	1991	0,624470227	1,268686869	47,36363636	0,149674114
O	1992	0,850964187	1,094829413	54,09090909	0,968940317
O	1993	0,712040951	1,176398601	43,84615385	0,043774355
O	1994	0,715221088	1,040245072	42,28571429	0,906648678
O	1995	0,607086168	1,16164966	56,78571429	0,859189197
O	1996	0,777453102	1,084353741	66,78571429	0,206505062
O	1997	0,72422856	1,058677249	66,66666667	0,665900013
O	1998	0,796013072	1,022087542	68,93333333	0,993843688
